epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,188.927,0.43979,0.92038,0.00452,0.92974,0.95116,0.98401,0.92076,0.37945,0.3792,0.00496,0.00050606,0.00050606,0.00050606
112,190.585,0.45435,0.98347,0.00468,0.9274,0.95008,0.98474,0.91537,0.40511,0.38386,0.00542,0.000500561,0.000500561,0.000500561
113,192.141,0.46472,1.008,0.00567,0.9274,0.95008,0.98474,0.91537,0.40511,0.38386,0.00542,0.000495062,0.000495062,0.000495062
114,193.631,0.45134,0.94147,0.00498,0.93334,0.94357,0.98401,0.91639,0.38166,0.37194,0.00519,0.000489562,0.000489562,0.000489562
115,195.104,0.42222,0.89454,0.00438,0.93148,0.96907,0.98359,0.93453,0.36414,0.3657,0.00499,0.000484063,0.000484063,0.000484063
116,196.603,0.42301,1.03086,0.00503,0.93727,0.94884,0.98359,0.93261,0.38354,0.36562,0.00524,0.000478563,0.000478563,0.000478563
117,198.018,0.45697,1.02252,0.00508,0.93727,0.94884,0.98359,0.93261,0.38354,0.36562,0.00524,0.000473064,0.000473064,0.000473064
118,199.367,0.45389,0.97565,0.0055,0.95499,0.9487,0.98359,0.93058,0.38197,0.35877,0.00513,0.000467564,0.000467564,0.000467564
119,200.781,0.39247,0.89772,0.0041,0.9567,0.95379,0.98428,0.92986,0.35828,0.34192,0.00471,0.000462065,0.000462065,0.000462065
120,202.225,0.38,0.99424,0.00471,0.94022,0.94545,0.98401,0.92159,0.3568,0.33564,0.0047,0.000456565,0.000456565,0.000456565
121,203.64,0.3709,0.98104,0.00439,0.94022,0.94545,0.98401,0.92159,0.3568,0.33564,0.0047,0.000451066,0.000451066,0.000451066
122,205.018,0.39837,0.86944,0.00482,0.98052,0.92672,0.98788,0.93246,0.34805,0.33884,0.00459,0.000445567,0.000445567,0.000445567
123,206.21,0.46277,1.04443,0.00529,0.97841,0.93983,0.9902,0.94688,0.3212,0.32848,0.00421,0.000440067,0.000440067,0.000440067
124,207.543,0.40195,0.97757,0.00483,0.93762,0.95177,0.98788,0.94559,0.32165,0.34215,0.00429,0.000434568,0.000434568,0.000434568
125,208.656,0.43773,0.9444,0.00554,0.93762,0.95177,0.98788,0.94559,0.32165,0.34215,0.00429,0.000429068,0.000429068,0.000429068
126,210.061,0.38201,0.86008,0.00417,0.90471,0.97313,0.98715,0.93231,0.36504,0.35736,0.00496,0.000423569,0.000423569,0.000423569
127,211.445,0.39145,0.88285,0.00455,0.92388,0.96771,0.98788,0.92653,0.37886,0.35844,0.00513,0.000418069,0.000418069,0.000418069
128,212.778,0.40751,0.93478,0.00522,0.92546,0.96759,0.9887,0.92428,0.36077,0.34077,0.00472,0.00041257,0.00041257,0.00041257
129,214.119,0.41891,0.89928,0.00444,0.92546,0.96759,0.9887,0.92428,0.36077,0.34077,0.00472,0.00040707,0.00040707,0.00040707
130,215.529,0.37499,0.84313,0.00444,0.97962,0.90608,0.98964,0.93498,0.35272,0.32871,0.00461,0.000401571,0.000401571,0.000401571
131,216.845,0.41036,0.87625,0.0047,0.97697,0.9067,0.98964,0.93969,0.35195,0.32409,0.00463,0.000396071,0.000396071,0.000396071
132,218.152,0.34985,0.84012,0.00412,0.92809,0.94403,0.98964,0.94381,0.33973,0.31825,0.00441,0.000390572,0.000390572,0.000390572
133,219.441,0.38407,0.92377,0.00417,0.92809,0.94403,0.98964,0.94381,0.33973,0.31825,0.00441,0.000385073,0.000385073,0.000385073
134,220.807,0.36496,0.90539,0.00477,0.91692,0.98182,0.98964,0.94906,0.34171,0.31801,0.00448,0.000379573,0.000379573,0.000379573
135,222.115,0.40029,0.85995,0.00436,0.92785,0.9739,0.99114,0.94159,0.36154,0.31794,0.00482,0.000374074,0.000374074,0.000374074
136,223.475,0.42348,0.95957,0.00509,0.92848,0.96233,0.99114,0.94159,0.36274,0.31358,0.0049,0.000368574,0.000368574,0.000368574
